Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, POWER1, POWER2",PinHeader_1x02_P2.54mm_Vertical,6,C,
J1,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP,
J2,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,
"OUTPUT1, OUTPUT2",PinHeader_1x03_P2.54mm_Vertical,2,Output,
"Q1, Q2",PinHeader_1x03_P2.54mm_Vertical,2,NPN,
"R1, R2, R3, R4, R5, R6, R7, R8",PinHeader_1x02_P2.54mm_Vertical,8,R,
"RV1, RV13",PinHeader_1x03_P2.54mm_Vertical,2,Softpot,
"RV10, RV4",PinHeader_1x03_P2.54mm_Vertical,2,Misc1,
"RV11, RV5",PinHeader_1x03_P2.54mm_Vertical,2,Misc2,
"RV12, RV2",PinHeader_1x03_P2.54mm_Vertical,2,Mic,
"RV14, RV3",PinHeader_1x03_P2.54mm_Vertical,2,Volume,
"RV6, RV8",PinHeader_1x03_P2.54mm_Vertical,2,Misc3,
"RV7, RV9",PinHeader_1x03_P2.54mm_Vertical,2,Misc4,
U1,DIP-28_W7.62mm,1,ATmega168-20P,
"U2, U4",DIP-20_W7.62mm,2,~,
U3,DIP-40_W15.24mm,1,ATmega1284-P,
"Y1, Y2",PinHeader_1x02_P2.54mm_Vertical,2,Crystal,
