Designator,Mid X,Mid Y,Rotation,Layer
C1,114.0,-77.495,0.0,top
C2,137.455,-113.185,90.0,top
C3,174.0,-117.535,0.0,top
C4,183.495,-126.0,90.0,top
J1,120.495,-95.5,0.0,top
J2,163.5,-122.495,270.0,top
OUTPUT1,138.715838,-106.666562,0.0,top
OUTPUT2,185.0,-117.0,0.0,top
POWER1,137.995,-119.5,90.0,top
POWER2,149.5,-123.495,0.0,top
Q1,131.185,-110.46,0.0,top
Q2,179.5,-117.0,0.0,top
R1,125.955,-114.46,270.0,top
R2,127.185,-105.455,0.0,top
R3,125.915,-110.46,270.0,top
R4,109.5,-77.505,180.0,top
R5,155.0,-123.495,0.0,top
R6,164.0,-129.495,0.0,top
R7,168.5,-129.495,0.0,top
R8,175.005,-126.0,270.0,top
RV1,104.91,-86.0,0.0,top
RV10,149.0,-110.46,0.0,top
RV11,160.0,-99.96,0.0,top
RV12,154.5,-99.96,0.0,top
RV13,149.0,-99.96,0.0,top
RV14,163.0,-64.0,0.0,top
RV2,109.5,-86.0,0.0,top
RV3,114.09,-86.0,0.0,top
RV4,104.91,-103.0,0.0,top
RV5,109.5,-103.0,0.0,top
RV6,114.09,-103.0,0.0,top
RV7,104.5,-113.5,0.0,top
RV8,160.0,-110.42,0.0,top
RV9,154.5,-110.46,0.0,top
U1,136.19,-81.99,0.0,top
U2,115.5,-65.495,90.0,top
U3,177.5,-85.505,0.0,top
U4,153.005,-73.5,0.0,top
Y1,127.0,-83.27,0.0,top
Y2,163.944129,-90.574271,0.0,top
